Rule_Type,Rule
Slot Contract Path,"If an occupied slot contract is active, authorized hours is greater than zero, and attended hours is zero, check the slot contract absence allowance. If allowance remains, the payment type is Slot Contract Absence. If the allowance is exhausted, the payment type is Slot Contract Regular with Unit Paid set to NP."
Slot Contract Path,"If an occupied slot contract is active, authorized hours is zero, and attended hours is greater than zero, check the slot contract drop-in allowance. If allowance remains, the payment type is Slot Contract Drop In. If the allowance is exhausted, the payment type is Slot Contract Regular with Unit Paid set to NP."
Slot Contract Path,"If an occupied slot contract is active, authorized hours is zero, and attended hours is zero, the payment type is Care Not Offered. Unit Paid is NP."
Slot Contract Path,"If the date is a Holiday and a slot contract is active, the payment type is Slot Contract Holiday. This overrides all other slot contract rules for that day."
Slot Contract Path,"If the date is an Observed Holiday and a slot contract is active, the payment type is also Slot Contract Holiday. Unlike the regular path, observed holidays under a slot contract are treated the same as full holidays."
Allowance Counters,"The county configures a maximum number of absent days that will be paid per service period. Each day classified as Absence or Slot Contract Absence decrements a running counter per county per service period. When the counter reaches zero, no more absence payments are made for that county in that period."
Allowance Counters,"When drop-in is managed at the county level, all drop-in days across all auths for that county share one counter per service period. When the counter reaches the county maximum, all further drop-in days in that county for that period result in NP."
Allowance Counters,"When drop-in is managed at the auth level, each auth has its own drop-in counter from the Number of Drop In Days field. Drop-in days only decrement the counter for the specific auth. Exhausting one auth counter does not affect other auths in the same county."
Allowance Counters,"Absence and drop-in counters are scoped to one county and one service period. A new service period starts with fresh counters."
Unit Paid,"For children over 36 months old, Unit Paid is determined by attended hours. 1 to 5 hours is PT. 6 to 12 hours is FT. 13 to 17 hours is FTPT. 18 to 24 hours is FTFT. Zero hours or an exhausted allowance results in NP."
Unit Paid,"For children under 36 months old (0-36 enrollment), Unit Paid is determined by authorized hours, not attended hours. The same tier thresholds apply: PT, FT, FTPT, FTFT."
Unit Paid,"Unit Paid is NP when the county absence allowance is exhausted for over-36-month children, when the drop-in allowance is exhausted for any child, when the day is Care Not Offered, or when the slot contract absence or drop-in allowance is exhausted."
Vacant Slot Contract,"When the slot contract type is Vacant, payment is not based on attendance or authorized hours at all. Ignore auth hours and attended hours entirely."
Vacant Slot Contract,"For a vacant slot contract, the payment amount is computed from the number of days per month on the contract multiplied by the count of selected days of week on the contract. Multiply that unit count by the care level rate from the fiscal rate table."
Vacant Slot Contract,"No absence or drop-in counters apply to vacant slot contract payments. There is no allowance to track."
Holiday Rules,"If the date is a Holiday and authorized hours are greater than zero and attended hours are greater than zero, the payment type is Holiday with additional info blank."
Holiday Rules,"If the date is a Holiday and authorized hours are zero and attended hours are greater than zero, check the drop-in allowance. If allowance remains, the payment type is Holiday with sub-type Drop In. If exhausted, Unit Paid is NP."
Holiday Rules,"If the date is a Holiday and authorized hours are zero and attended hours are greater than zero but drop-in allowance is exhausted, Unit Paid is NP."
Holiday Rules,"If the date is an Observed Holiday and attended hours are zero, treat the day as an Absence. It counts against the county absence allowance. If the allowance is exhausted, Unit Paid is NP."
Holiday Rules,"If the date is an Observed Holiday and attendance is present, the payment type is Regular with additional info blank. It is not an absence."
Holiday Rules,"If the date is an Observed Holiday and authorized hours are zero with no attendance, the day is NP because it is a Care Not Offered day."
Holiday Rules,"If the date is a Holiday or Observed Holiday and a slot contract is active, the payment type is Slot Contract Holiday. Slot contract holiday overrides all regular holiday rules."
ART Fees,"ART fees (Activity, Registration, Transportation) are only triggered on the first day of each service period. They are not evaluated on any other day."
ART Fees,"For a One-Time fee, check if the fee has ever been paid before for this child and provider combination. If the remaining amount is zero, skip the fee entirely."
ART Fees,"For a Monthly fee, check if the fee was already paid for the current calendar month. Also check if the Rate Schedule has this month in its exclusion list. If either condition is true, skip the fee."
ART Fees,"For an Annual fee, check if the fee was already paid in the current calendar year. If yes, skip it."
ART Fees,"If the auth has the transportation fee exclusion flag set to No, skip the Transportation fee regardless of its frequency or remaining amount."
ART Fees,"ART fees are never paid on a day where the payment type is Absence. If the first day of the service period is classified as Absence, no ART fees are emitted for any fee type."
ART Fees,"If an auth was end-dated and a new auth was created for the same child and provider within the same month, do not pay the Monthly ART fee again. The fee history spans across auth records for the same child and provider relationship."
Parent Fee,"The parent fee is deducted once per calendar month per case. It is not per auth and not per day."
Parent Fee,"When the service period spans a new calendar month, find the parent fee record whose date range covers the first day of that new month. That record amount is the deduction."
Parent Fee,"If the active parent fee is end-dated and no successor record exists, there is no deduction for subsequent months."
Parent Fee,"The parent fee amount is distributed across all active authorizations under the same case for that payment run."
Adjustments,"For children over 36 months old, a Claim adjustment can be calculated using either attended hours or authorized hours. The user or agent chooses which basis to use."
Adjustments,"For children under 36 months old, a Claim adjustment must use authorized hours only. Show a warning if a non-sub-payment adjustment is attempted for this age group."
Adjustments,"When multiple recoveries exist, they must be satisfied in a defined priority order. H2 is satisfied before H5, and H5 before H6. A recovery must never be over-satisfied beyond its outstanding balance."
Adjustments,"A CDOR payment can result in an overpayment, underpayment, or equal amount. It can be processed in chunks or as a single line depending on configuration. Do not let the total exceed what is owed."
Adjustments,"For a vacant slot contract adjustment, use the care level, unit paid, and vacant slot factors from the contract. Do not use attended or authorized hours."
Adjustments,"A non-sub-payment adjustment creates a Non Sub Payment record directly. The same recovery hierarchy rules apply."
Utilization,"After each payment run, update the utilization records on the individual (child) record. These track how much of the authorized amount has been consumed cumulative across service periods."
Correspondence,"CR205 correspondence is generated per county. If a provider has ongoing payments for multiple counties, a separate CR205 must be generated for each county."
Correspondence,"CR205 is generated on a batch basis. The batch status must be set to Requested before CR205 correspondence records are created."
Correspondence,"CR206, CR207, and CR208 are generated for adjustment-related correspondence. Each type maps to a specific adjustment outcome."
Guard Rules,"A payment run should never create a sub-payment for an auth and service period combination that already has a paid sub-payment. Check existing sub-payments before generating new ones."
Guard Rules,"A payment run for a leap year must handle February 29 correctly without batch failures. Service periods that include February 29 must be processed without date calculation errors."
Guard Rules,"If a provider has a closure recorded for the current month, that closure must be considered when evaluating whether payment is valid for that provider in that period."
