Rule_Type,Rule
Attended Hours,"Use the attendance hours field on the transaction as your primary attended hours value. Do not recompute from timestamps unless this field is blank."
Attended Hours,"If a child had multiple check-in and check-out sessions on the same day sum the attendance hours across all valid transactions for that schedule."
Attended Hours,"If the attendance hours field is blank compute duration from the schedule provider start and end timestamps. Round to the nearest whole hour."
Attended Hours,"The schedule type label (PT / FT / FTPT / FTFT) is a display hint for cross-checking your calculation. Do not use it as the authoritative attended hours value."
Attended Hours,"If the attended flag on the schedule is false then attended hours is zero. Do not analyze transactions."
Attended Hours,"If the attended flag is true but no valid transactions survived your filters then attended hours is zero. Flag it as a data quality issue."
Attended Hours,"Attended hours cannot exceed 24 in a single day. Cap at 24 and flag if exceeded."
Attended Hours,"For a drop-in schedule only count hours from drop-in transactions. Do not mix regular CCCAP check-in hours with drop-in hours."
Drop-In Rules,"A day is a drop-in day if the schedule type is Drop In or if any transaction sub-type is Drop In. Either condition alone is enough."
Drop-In Rules,"If the schedule already has a denial reason of no drop-in days remaining do not pay the drop-in. The allowance was exhausted at swipe time and the day is Not Paid."
Drop-In Rules,"Orphan drop-in transactions are processed as if a schedule existed. Set authorized hours to zero, use attended hours from the orphan transaction, and flag as drop-in. Then apply all normal drop-in rules."
Drop-In Rules,"Attended hours from the drop-in transaction determine the Unit Paid tier: 1 to 5 hours is Part Time, 6 to 12 is Full Time, 13 to 17 is Full Time plus Part Time, 18 to 24 is Full Time plus Full Time."
Drop-In Rules,"Before paying a drop-in day check whether the county drop-in day pool is exhausted for this service period. If it is the day is Not Paid regardless of what the transaction says."
Drop-In Rules,"If drop-in is managed per authorization check that authorization own counter independently. Exhausting one auth budget does not affect other auths in the same county."
Anomalies,"A check-in without a matching check-out is anomalous. Fall back to the raw hours field on the schedule. If that is also blank use zero hours and flag the anomaly."
Anomalies,"Multiple check-in and check-out pairs in one day is normal for split care. Sum the durations and cap the total at 24."
Anomalies,"If a transaction attendance date does not match the schedule authorization date then exclude that transaction. It belongs to a different day."
Anomalies,"If a transaction has the SAF indicator process attendance normally but tag the payment detail record for special authorization flag rate handling."
Anomalies,"If all transactions for a schedule are marked as previous or historical use the latest non-historical one if available. Previous transactions are for audit only."
Anomalies,"A multi-county restriction flag on a schedule does not block payment. Flag it for a worker to review compliance manually."
Anomalies,"If the schedule indicates it has orphan drop-in records attached process those orphan transactions in addition to the schedule regular attendance."
Anomalies,"If the schedule says it has transactions but none survived your filters flag it as a data quality issue because expected transactions are missing."
Anomalies,"If the check-in count and check-out count on the schedule do not match there are unpaired swipes. Apply the unmatched check-in fallback rule."
Anomalies,"If overnight care is flagged the session spans two calendar days. Sum the hours from both schedule records and do not double-count the same care."
County - Absence,"A day is absent when the provider was scheduled, the child did not attend, the day was not a holiday, and it was not a Care Not Offered day."
County - Absence,"Track how many absent days a child has used against the county configured absence allowance for the service period."
County - Absence,"If the absence count is within the county limit the absent day is payable. The provider receives payment for that day."
County - Absence,"If the absence count exceeds the county limit and the child is over 36 months old the day is Not Paid."
County - Absence,"If the absence count exceeds the county limit and the child is under 36 months old the day is still payable as an Enrollment Absence. The program continues to pay the provider for these children even after the county allowance runs out."
County - Absence,"If the child enrollment status is Neutral or Declined no absent days are payable regardless of how many allowances remain."
County - Over-Attendance,"Flag a day as over-attended when the child stayed longer than the authorized hours. Compute and record the excess hours."
County - Over-Attendance,"For children over 36 months old extra attended hours can push them into a higher payment tier. Do not cap attended hours to authorized hours for this age group."
County - Over-Attendance,"If a child is repeatedly over-attending across more than three days in a service period flag the authorization for worker review."
County - Unconfirmed Attendance,"Attendance submitted by the provider but not yet confirmed by the parent counts toward attended hours but is flagged as unconfirmed. Payment proceeds but the record is marked for follow-up."
County - Unconfirmed Attendance,"Attendance where the parent has not acted at all does not count. Treat the day as absent and apply absence rules."
County - Unconfirmed Attendance,"If more than half the days in a service period are unconfirmed flag the entire period for supervisor review."
County - Drop-In Limits,"Track how many drop-in days have been used across the service period for the county. When the counter hits the county limit all remaining drop-in days in that county for that period are Not Paid."
County - Drop-In Limits,"If an authorization has its own drop-in budget track it separately. Exhausting one auth drop-in days only affects that auth and not others in the same county."
County - Drop-In Limits,"When the county drop-in pool is down to one day remaining issue a warning that the next drop-in day will exhaust the allowance."
County - Summary,"At the end of processing produce a summary per county showing: total scheduled days, attended days, absences within limit, absences over limit, enrollment absences, drop-in days paid, drop-in days denied, unconfirmed days, and Care Not Offered days."
County - Summary,"Produce a per-child summary showing: absences used and remaining, drop-in days used and remaining, and any active flags such as repeated over-attendance or enrollment status block."
County - Summary,"When a child is one absence away from exhausting the county allowance warn proactively so the worker knows the next absent day will have a payment impact."
